username,user_id,counts
42xWeeD,1554768110963478528,495
BooK_Ku,63018215,139
OGGANJA2,1552914113608970240,129
nkx8yf4PxV8RccU,1397569068652064770,118
zoromonsS,1454486461269434373,110
Greenglass_420,1557614780864536576,103
GUEST6607526277,1183085379202633728,91
smokequeen89,1551239508720422918,61
420weedog,1559885381654327297,60
tuatoh29,1536099003556696065,58
420_kaycha,1367133669979090944,56
420RUBYWEED,1536595291008569344,55
Hatori32041473,1019234558099664897,55
mustachemanshop,1466548113858981892,45
Roses_brownies,1456502316840804353,44
BudBoyseller,1546325605330722816,42
Guncha_93,884348127666360321,38
RoadtoJupiterOG,1497362001294598144,38
Cannabi09166874,1523336524808753152,37
Stoner__Weed,1495303418113855489,37
420_cnx_og,1538451070644473856,36
Thammarat12850,980284278415147010,35
Yodacannabis420,1518657651802275840,34
RchtDu,1536994037462605830,33
Kittithat_Mick,1540379780012380162,33
weedforlife420r,1536680457491820544,33
WeeD_PLS,1542909187856150528,32
Tormorsung,1341436382636515329,32
Highasfuck24,1566137055725293568,31
Jameza420,1527563718149566464,31
hempweed90,2456094144,31
t_skyper,1479665565601988611,30
abz55555,1266302130698125317,29
katom_cnx,1436289158075465730,29
STIIIZYTHshop,1362481457415872512,28
Cnxz420Weedzone,1542410628639637504,28
Euphoria420gas,1549776071465152512,26
phuchissphuphi1,1539834610192097281,26
T_W_N_C,1476822526575529986,25
xxxskull_nft,1388475829756125188,25
RedEyeCannabis,1535276500848906240,24
PangBas1122,1562428881323577344,23
jukgLOTuYt4Zghl,1377660599899852801,23
CnxSweet,1563853456657743872,23
M2B47254480,1551180463116791808,23
NS_420chiangmai,1545649402333003776,23
SNying6,1241566675771600896,23
road_tojupiter,1558209635256897536,23
katomCNX,1433415823331250187,22
LungXngkh,1516861444855255040,22
Sweedsheep,1563817564584628224,22
Energyweed2,1541487198456803328,22
DulyLxy,1520661938795327488,21
sekkrabsek,1561735620594061312,21
TWNC_v2,1488414609967312896,21
Cannabi72362305,1550104639965499393,21
Duckhigh420,1564936658822123520,20
WeedQueen_May,1555563297394786304,20
SeoulSweet31,1518594437911224326,20
garland7yup,1560300945262911488,20
Fixxt9,1413171805519417352,20
ThailandTHC420,1545305357257347072,18
Highlife_S,1328440209961152512,18
blossoms_og,390592551,18
xes_fu,1535476846535786496,18
3hzee,1533398325960929280,18
KhunKmla,1519778697540431872,18
zighippie,1512375153333706754,17
Komsi1997,1545751456166584320,17
medical_dee,1561014687101136896,16
buds_nicky,1556289225670406146,16
eqlQdeLsCMnRKbl,1561603954576101376,16
2Weedmaster,1491061481987018755,16
99Devil8889,1536420598405947392,16
420greentree,1533993973374918656,15
MiWichay,1449688971454205959,15
mintcandyog,2491790611,15
Gethight_,1545939804512452608,14
chewngsakdi11,1541043513185677314,14
Amati39,747658708986007552,14
HAZEMART420,1560185321605586944,14
DxyNari,1551553638832545857,14
KunchaShopkan,1530348773263560704,14
Highasfuxk24,1548655072388689920,14
WeedMao_D,1555074003957456896,14
aka_shop420,1465794537985560580,13
BnHighaddict,1535971169404276736,13
weedforsell,1439107407607599110,13
bord_oa,1545757857639170048,13
weed420tpp,1421372538442055680,13
Bongmagic555,1562723002219130884,13
greenyard4420,1559048834852220928,13
Flowerofevil420,968923821477576704,13
holyhigh951,1503623092874096643,13
zweednlean99,1563404426450046977,12
siamhighweedKK,1566500719074902016,12
namhomm_19,1332589951423193088,12
high420_ns,1539178801820999681,12
TreetawatP,1456516608902324224,12
CaliSnowbkk,1384723946969321476,12
TSUTHANI1,1468881776005181440,12
weednawat,1105538445181517824,12
EzyWeedz,1566786147954864130,12
Superhight420,1536375361855819776,12
10_sup,1326716750746972160,11
MaKaycha,1450069142678085636,11
GreenfarmerTh,1535504523623821313,11
SaimaiStreet420,1556027049260617728,11
Catmao_,1111646878968373248,11
Og420Factory,1551971488219418624,11
Premium_Plants,1543265667977465856,11
Catcat669,1420003456757080072,11
SaritpongH,1248430165408927747,11
Catahigh_Bkk,1556351360047906816,11
TheWorldCannab1,1547965095686602752,11
VanWeedsShop,1549847308639997953,11
A_KYPBP,1434759578269335555,11
high_siam,1547600438727688193,10
ton_nipon,1357319896560926724,10
OgThai420,1545092901314519040,10
koweed_club,1547850391689129984,10
mokung1997,1559161279977140225,10
K2031480601,1219638932553506822,10
SpiritsLightZ,1424328411812483078,10
STRR923045911,1539955983723597824,10
420BABYWEED,1539526521547014145,10
THC420_Gang,1556637292315287552,10
bosskms4289,1542968054996692992,10
Tana09974121,1150447889040101378,10
Highrolls420,1544951218451070977,10
420_UBT,1550794229911212032,10
machuri11,1555932659578052608,10
mapiue,1256866024273571840,10
queensmoke_V,4506494833,10
1UVy1zUHzOMh5kc,1556320167554347009,9
pjamasalldatime,1359561216645996545,9
xwnhunhmi1,1528220205369131010,9
kt_shop420,1484599585540816898,9
MRMeeWeed,1541857128889339904,9
Seedtoweed555,1551232751260430341,9
ChomCherita,950946565593612288,9
TheJoe420weed,1548978189241700353,9
Vella910,1528716521614327813,9
nuknuk07132659,1491376470627057664,9
ken_er6n,1267119285689741313,9
0sQ3LTYbG5lZkpW,1369645143905607681,9
deepchewy1,1557958782566924288,9
24cannabxtch,1559783783561248770,9
DlDnwz,1564934977682214912,9
ShoppKuromi,1561939582081413121,8
oilkiq,1522556097306890240,8
smilezonebkk,303199103,8
PichaBravo,1565680037332144128,8
MeDuSaHiCool1,1567140945141059585,8
KKom07007035,1564501729382907904,8
VinM2503,1537134819582562304,8
godgreen89,996282269374431232,8
dsfrfh111,1451279443079557135,8
meenalayna,1311269647161810944,8
Palima009,1535253853855133703,8
MorningNewsTV3,211395583,7
smokewar,1560302451558821888,7
Weed87550283,1553748457541627904,7
WeedDiamond24,1548913908466847745,7
can9025,1393424173611978762,7
organic402,1325256727978147840,7
WhanCtr1,1515625904005062658,7
tingbhumjaithai,1525715908769239040,7
Boonman108,1548553759852482560,7
_daonoii,821656403647614977,7
rarwyng22820010,1554398266258644992,7
KAJEE420,1565021940380991489,7
OGbitch420,1420607537250902018,7
og_freeflow,1559823993359675393,7
Sweetweed168,1555171174480773127,7
WEEDGALAXY69,1528308806173589504,7
flxkeeee,1565679561995456513,7
nath_cakr,1461618467405131779,7
wisut16031586,1565582572620742656,7
ogxslytherin,1408039608579891201,7
og_butcher,1555217092940468225,6
_Greenland7,1546681773269983233,6
kanchachakan,1537410650409869312,6
KayTalay,1549189007052980224,6
Highkush__TH,1436614271144660992,6
dil57705060,1503188381626343431,6
eye_______77,1539983233097809920,6
gU3u67h5sUmipWn,1565009779923099648,6
S01330650,1498670626785091597,6
Mirage_farm,1551854391267053569,6
lucky_ktt,1088321512795365378,6
420greenyard,1559167666644197376,6
phuket_alliance,1544997403693961216,6
Bun1Weed,1529472903217311744,6
DCRK6,1054712845798060032,6
fourtwe39877615,1176101994680872960,6
weed_of_god420,1541792606216019969,6
NoeyThalachanan,802082484431163392,6
HaohighC,1547556470493188099,6
Somsak59798426,1565383228307001344,6
coffin_og01,1059078552795017216,6
RTvV2VYnBiBrwkR,1395727123625648129,6
Spaces42O,1407060455558815745,6
LeftBeh23273982,1477427474464075777,5
PattayaWeeDpill,1536308989595553793,5
MatichonOnline,65314514,5
cannabissssman,1534923300887228416,5
Earth2xHERB,841278979948535809,5
Uniprotra,1511335192589385734,5
thanyasutra,1519885073323261953,5
__02blt,2996483840,5
US998899,1393054610315567104,5
weed_cnx,1538717346788888577,5
wiwilaiwann,1457259546821292036,5
Pond46478,1481259030094172161,5
dkud2211,1420054354854244353,5
ao_carrot,1538259135313358848,5
ChartMonthon,1086979842925449216,5
KanChaPran,1540554559914795009,5
CiggaAfWeed,1535908797117476864,5
KherditY,1510721484012285957,5
catchbong420,884284649563799553,5
MeMrsJones4,1389030344804892675,5
alanbenjamin420,1549771996048674816,5
yWLYkIIIZ8Mesub,1402824681506279426,5
sinaloafarm,1517420233392549888,5
Sweetie_Joint,1542044276200452096,5
srirachaweed,1543146019185012736,5
HanKanSecret,1491589914785640453,5
Hi_Its_Weed,1544309119045120000,5
WyGena,1488610537,5
Boss28667783,1530096873960132608,5
brunei_kittinan,864837543589691394,5
3Plusnews,167306817,5
tobyhappyweeds,1382261989968252928,5
OHO4201,1541409606504972289,5
JohnLem13413841,1561316541572194305,5
johnsonbuds,1566019762513235968,5
Canabis_Grow,1507316399122763778,5
siamhighweed_KK,1566511282320457728,5
Timetoseeweed,1550440332747493376,4
smokeweedinTH,1348143570855763969,4
armupdate,1661479111,4
PvgSun,1546994597930233856,4
thaipost,19141546,4
thaich8news,2532360218,4
ramasoonz,789354509218701312,4
DD_OGSHOP,1383066294585466880,4
Striker5554,1310292702622228480,4
HAPPYVA59,1485454435887497217,4
Thi3NfNJwvsnSXs,933257401012166657,4
77Kaoded_news,1451446138972770307,4
msr_lovecare,1557715380202000386,4
takkatanrainbow,1433734440115572740,4
Human51668839,1170931721312731136,4
F68274933,1546905407439876099,4
Th6Weed,1563508375014346752,4
Foytongrangsit,1546768365766594560,4
Sanook,23032702,4
HigherThailand,1335617998871097344,4
xangkhna_ta,1542704365009375232,4
Drindong420,1199791245050007553,4
DrunkCat420,1565040665850916864,4
ThaiPBS,37950212,4
KK59173048,1406265474074103812,4
siamrath_online,1264480106153558017,4
Rollajoint29,1540295008938369024,4
K1TSU30,264122824,4
ctrls4,1619449062,4
BearWeedCity,1315324255375036422,4
NutchaWeed420,1567211448035848192,4
BabyBlack_3B420,1566323500918669313,4
palm_athiwat,868373671928250369,4
N52299625,1540017260924129280,4
Maylon32486837,1275390102907187200,4
PhrTrr,1566329385741086720,4
pong12345678zx,1544240696994828288,4
PlewSeengern,1360819822976585731,4
visuthiparnich,1544744667375628289,4
PPTVHD36,1877783624,4
hyoooxr,1523961745651372032,4
OGAK26390470,1561039944822714368,4
CNT69Shop_JJ,1376007516061016064,4
ChumniBank,1361923282404921348,4
Bassscnx,1424432765701746691,4
PuffPuffPxss,1542132452923445248,4
o_bboybaby,1564242077369925632,4
WeedKrub,1546405462152978432,4
tylee_1001,1030793001079996417,4
NutSwagGx,1269816275687010305,4
NMaprai,1480325553076854786,4
Popoygot,2669506495,4
CNX1741,1559827856305180672,4
soobgreen,1565338955037708290,4
littlt_,1953555048,3
YPumsutas,989360962418307072,3
meowhaerin_jk97,1541091481946951680,3
MobileArmy2,1566195969510674432,3
MntKxn,1457718559631568896,3
SanupongR,1466897961321787394,3
XxnYim,1450073522835914752,3
N13058438,1549167491452370944,3
WillChi05900866,1564510294168129537,3
OG_Thailand1,1487432876375228424,3
SoilFertilizer,81783530,3
THE_MOON_420,1232678741211373570,3
NuiPavi,1462642874567168004,3
Su94713777,1342789490952134657,3
GrolandSammy,1531633081379356672,3
otto19n,1434650431888629770,3
Whowantsomewee1,1564476963137650688,3
SoClaimon,69178458,3
patchajaijam,940574784277979136,3
mrcanna65877141,1558666156881641473,3
smashingjing,1403946131143290880,3
Hahaha76375081,1114844375668875264,3
shutup2557,583857653,3
WangmanowOg,1566205717433835520,3
ogdeep000,1474064704544788504,3
Mintty0561,1204022878825369600,3
ThaiPBSNews,2294029646,3
0110xoxo1,1137410343490076672,3
jk_beginj,984780704922845184,3
KaewmaneeKiti,1087586977463951360,3
Kan10016,1561579458749902848,3
prachachat,65350312,3
KaraTao7,1315943328970469376,3
KayKhux,1564572316084088833,3
prasittikhatkij,1372425214412263430,3
Lemonade_CNB,1550698371618222081,3
kestrbnswn11,1565486233064976384,3
nipad3,1097177131,3
air_won,1090571855205785601,3
Popo15815339,1250944572118556674,3
kaychaseri924,1563189748524806147,3
PxZadart,1401794042199908352,3
PrimroseEnis,1351220326722662400,3
natthakit420,1198031376190062592,3
qdfedfggfghh,1563235457160609793,3
punyopuntheplug,1554413311051321344,3
nomi_nee,14919666,3
MKyummy,945994243700428800,3
k_witchaya,1028221171215396864,3
nuad234,1455240979632377857,3
OgRangsit,1560966346694742016,3
WANGNANA2310,2912829652,3
qCjcnZIOC1URtx8,1541835592526602241,3
OneNightStoned,1564506774572781568,3
Thairath_Sport,86900112,3
b_og420,1553589826515238912,3
SWShigh,1545248856379904002,3
Patsakron20,1168003390581788672,3
Thebazt1997,1542539514802974720,3
mydearda,387018077,3
SKZsts,1030364095902449664,3
Unitasop,1487146347740676097,3
Mamaapo1Apo,1555292061267804160,3
naewna_news,925206827930763264,3
plawarn84658476,1561674310389215232,3
researchmrx,2256664812,3
Goodh1gh420,1566433153816084480,3
zxKUChSIPjCJpow,1406671025522151425,3
clit631,405968264,3
gtshop420,1551484070156451840,3
AliceTotile,1549674860934500352,3
cannabisshop999,1558300651968675840,3
CooperHempFarm,1536261602714210304,3
freacherjr,1371811543210356737,3
tktuy42,1426180037863100423,3
v67TUxV9D1Vm3rT,1538570852005908480,3
BUKGREEN420,1562175927718531072,3
French_Moneyy,1271868362612604928,3
havecannabis,1536988517925986304,3
v2_air,1292088823787085830,3
Easy42763027,1498758477225037824,3
420E_san,1559063583178125315,3
CannabisThc65,1538193224808173569,3
sungreen389,1564884002317963264,3
CannabizWay,1548211681511473152,3
BSickboyz,1557740292207702016,3
in4months,818111285699088384,3
Bangkok2557,65493888,3
f5551748,1003894378354520064,3
green991_,851283187867066372,3
bxm_ketu,1563270446216544260,3
weedcity456,1315325709376610305,3
gunzjahphayao,1420426494,3
DRAGONG22212188,1564961704932671488,3
cookie_vault,1540679455630192640,3
thisisnuner,1417488346109128718,3
yimtrw,3236472548,3
ittsweed,1477869860696723457,3
eieihh,933246493795917824,3
weedcalifonia,797287807764996096,3
dailycryptoO,1460105082750390278,3
tesboo_,2580016724,3
BloodBoyBaby,1537855775816941568,3
GOODHIGH_V1,1566827618426507264,3
RAWTH5,1546471919121481733,2
kimjundream,1253282062443765762,2
Rcashaa,973160943864528896,2
nasi_koa,1546838274978619393,2
TigerHigher,1534669669113552896,2
TidaPatty,1537325709538246656,2
iaieaie,710187061,2
masa83423579,1555242176388296704,2
RJSJJVJ06139,1543276519954427905,2
ketpleephanida2,1526516154126041089,2
namtanpakk,979765493392334848,2
Chidcha14677804,1126882482282909696,2
Rakth1Raktham,1478322960834318339,2
winterthepuppy,298632377,2
torphun0223,1164746398161461250,2
nangphya6,1554679725947506688,2
LittleLekNoi,3051544700,2
ppjaemmyno,1013132395040477184,2
winstonpremieum,1482266918459707392,2
ROBINHXXD1,1562028143895990272,2
highcafe420,1555516198565335040,2
go3dsxdy,1496316441615765509,2
devilcannabis,1364477582209474563,2
AIhappymarvin,1165597209506631680,2
eim,14522599,2
rabaai,960645056,2
kapookdotcom,14301366,2
KkcWeed,1563121897029914625,2
KlermRayong,1557673260644704256,2
qweiitr,1559433440784953345,2
thairnee,1268796588,2
ACORNonTop,1523615623900987392,2
DailynewsTwit,145931392,2
iceesy_totty,4697382612,2
Beonmile,1306500973347524608,2
Kosol24907413,1318546561924825095,2
KouUniop,1552231400245702663,2
ConanKid0701,815695417992065024,2
treutel30,1528930257302069251,2
ANAGRY21,327864516,2
prxvxtesy,1417548829465874432,2
CnxMajestyzone,1550290577945919488,2
kbaoieo,1396064375136395264,2
Theeweed1,1415709530827096066,2
KymooPik,2793941774,2
keerati3210,1384100936696557573,2
notmerryjune,1479509412108664835,2
adoremin,3275512801,2
LadyBuds5,1558643520130322434,2
Percian58,1515321545807527939,2
trustiie,195779884,2
LeafPlanet420,1560496318392729601,2
thetukk12,139996223,2
wutphat0,1537317602732945408,2
Whowantsomewee2,1567388220392079360,2
dontwantu2follo,740219111385366528,2
domiezret,1299929582,2
weedy_official,1490273913930416130,2
news1005fm,65319043,2
MisterBlessMe,2162571606,2
kun_koratbar,1466319086669811716,2
Misneachaill,1533627115622387712,2
ZC8EbZI8zsdKnGQ,1117415753613897729,2
Modvc,392078635,2
phanuph57089903,1555964254096084992,2
Mildmar254108,1487546901360566272,2
Toppark_3,1317698408476336133,2
tk17hh,1519384554548899840,2
Areaflower_,1493249898631680002,2
krapalm,47351002,2
CNT69Shop,1536378558754353153,2
civil_iii,1310071004283109383,2
natlamborghini1,3244788507,2
YNAChangkanna,1565847003476955136,2
XinSyam,1475869687682461699,2
BungB_Store,1566391965721448449,2
CANNABIShouse88,1552092874749005824,2
Apiwat57130432,1484855696361652228,2
greenherbdevil,1562457603028185089,2
UChaChuanChil,794788291,2
Angieweeds,2489362860,2
madmax68176958,1073602689286766592,2
MrWeed53869873,1536543914228056064,2
penamoon,903816294167789568,2
lalajk_127,1445959986207551489,2
MrG82063196,1418155498650615808,2
Ploys_ployy,1555099679926263808,2
TuaMaple,1137250573307195392,2
panisapoorman,724520151631065088,2
phisate3,1505437820030447617,2
Toneshisha,790472274298019840,2
kmono423,1564698075729657856,2
Malangmoom_,1001601268639416320,2
Makin80135487,1158579223268745221,2
__TRTDI,1351547825398583302,2
Pundee_Punsuck,936552030226718720,2
Ch7HDNews,2436789440,2
Tippie61680054,1558525784029294597,2
ChampSJoker,1410293724542902275,2
_GreenWorld420_,1487367851132743680,2
UggXhg,1425838983053856771,2
Kik69170213,1309814194464841728,2
plychang,1527163433397125121,2
pna99301362,1146662646571139072,2
kk_beler,738027978907516928,2
kittisakdiwngk3,1511997777022439428,2
thongdaengSuriy,2529698904,2
green_shop11,1566376256203259904,2
MaoAllday042,1555481779657936899,2
MaoGunja,1285077669554470912,2
whanajaa,1312787869522485248,2
Catfly420,1559495027734171648,2
MasterT_Grower,1520375458386550789,2
Nathanial857,1554745266267357184,2
huntmangrower_,1501377903472250880,2
Matpwr,1468426842130776067,2
Canshare420,1546159754329829376,2
Mayura21360118,1136483958688866304,2
green_sticky_fr,1500015732305793024,2
thxgodblue,1109509459972243456,2
Phatiphon83,1535250146274947072,2
greencrack40,1565336169113538563,2
grower_kk,1513361641777528832,2
mayuruha,98123539,2
NRakvong,1442169838344933378,2
gts_spma,3095001512,2
TWEED420T,1543937821060132868,2
1_tahm,3286449990,2
FangFyFy,1298677567,2
Human0014,625191173,2
sur4kvrn420,1559775008050020352,2
yourmakuay,3516006258,2
Srnkancha,1564528298449072129,2
PSopawatt,1136341097691541504,2
176cannabis,1332209372915646466,2
St_Ap_ba,884441630131879936,2
jikchoyu,1536678097646678016,2
HighQ_Weed,1493900231192170497,2
mojiiiiko,1422523953474535424,2
studio2702,310069117,2
beebie7442,1432746733818179586,2
Hurts09198920,1561320956278505472,2
ID_0615348254,1434632047172018177,2
jitsanec11381,907097675144732672,2
WEED_OG_,1546179942257688577,2
shykancha,1564923054446166016,2
PT31108530,1559753500753825792,2
Octopussy5678,1508676504389304323,2
IRh1aImid0C3HkQ,1187604926181937152,2
sweeddy4,1562096280314163200,2
Soda61427894,1364953650225889286,2
shishilex,1425719303953813504,2
farmcafehom,1492901709911236610,2
jjjyam,718637449925173248,2
TanWi69,1331242012432011265,2
Inarmtattoo,1535384656602107906,2
26_tula,1555881184173133824,2
amilykatze,1040268361018429440,2
Stockhome420420,1354710530871726081,2
nyuphchykwpras1,1566030928262025216,2
nualis1stisnual,187581020,2
Greenbank420,1547138159909437440,2
GKiiiroji,1341430412573196289,2
yuupax,404706266,2
Overdose_THC,1556541386157043713,2
boommari,298382351,2
0voiydm6d8o,1558191107376578560,2
0sagiine,1339738145982619648,2
flummox_weed,1477931239113777155,2
HardCoreMody,267824562,2
SwingWngs,1565010791526731776,2
gusstation,1272649254,2
VoJsQE5LQiEo46g,1220874200212131840,2
bobbgirl_,1552521047273979904,2
zGN89080242,1072357048476565504,2
TEE5_420,1539565989985398784,2
GunjaCNX,1566768846265929728,2
mmmaow02,872611197568274432,2
nxchxneww,1330550192735612928,2
GING1095,952409653186412544,2
Oppsutr,271979531,2
yuttasack,2988731651,2
Superrhigh420,1566840421300715520,2
HPW4200,1497914413147631616,2
GCC_1111,125902776,2
moWeed420,1240440866717626368,2
HahiXea,1552636164691345408,2
B109283361,1563827188356763648,2
SukArrom_OGShop,1543255523910246402,2
SuchaSilp,1523859209745354752,2
PRD6songkhla,1398113920905187328,2
TTPs13459658,1282846391933386752,2
Happygan1G,1564270522027847681,2
lovelyyou222,1450138533818032129,2
serigunter,1543948874163056640,2
420budsplug,1563080617335480320,2
Nougatcandyy,202727331,2
